lambda [um]    flux [erg s^-1 cm^-3]    
1.2788209e-01  3.1744499e+07            
1.2794604e-01  2.6207529e+07            
1.2801001e-01  1.1259399e+07            
1.2807402e-01  2.3552323e+07            
1.2813805e-01  3.9945644e+07            
1.2820212e-01  3.5495255e+07            
1.2826622e-01  3.7906899e+07            
1.2833035e-01  3.3190705e+07            
1.2839453e-01  4.1480170e+07            
1.2845872e-01  3.4575470e+07            
1.2852294e-01  4.1056337e+07            
1.2858721e-01  3.9568791e+07            
1.2865150e-01  3.5846603e+07            
1.2871583e-01  3.6904300e+07            
1.2878018e-01  3.5367420e+07            
1.2884458e-01  3.1584599e+07            
1.2890900e-01  3.8649254e+07            
1.2897345e-01  4.1311602e+07            
1.2903794e-01  4.2595162e+07            
1.2910246e-01  4.0724847e+07            
1.2916701e-01  4.3064034e+07            
1.2923159e-01  4.7304540e+07            
1.2929621e-01  4.1128179e+07            
1.2936085e-01  3.1115300e+07            
1.2942554e-01  4.8732250e+07            
1.2949025e-01  4.3714615e+07            
1.2955499e-01  4.5145629e+07            
1.2961978e-01  4.4297529e+07            
1.2968458e-01  4.1847904e+07            
1.2974943e-01  4.6656943e+07            
1.2981429e-01  4.8955917e+07            
1.2987920e-01  4.7958845e+07            
1.2994415e-01  4.6934728e+07            
1.3000912e-01  4.8062207e+07            
1.3007413e-01  4.5318700e+07            
1.3013916e-01  4.9680924e+07            
1.3020423e-01  3.2812427e+07            
1.3026933e-01  4.7886692e+07            
1.3033446e-01  4.7186714e+07            
1.3039964e-01  5.2876147e+07            
1.3046483e-01  3.3171836e+07            
1.3053007e-01  4.9909212e+07            
1.3059532e-01  3.9333698e+07            
1.3066063e-01  5.1997552e+07            
1.3072596e-01  5.4258238e+07            
1.3079133e-01  5.7695068e+07            
1.3085672e-01  5.9696811e+07            
1.3092215e-01  4.8588185e+07            
1.3098761e-01  4.9689123e+07            
1.3105310e-01  5.2716855e+07            
1.3111863e-01  5.1474467e+07            
1.3118419e-01  4.8940730e+07            
1.3124977e-01  6.2435573e+07            
1.3131540e-01  6.0151393e+07            
1.3138106e-01  6.4643140e+07            
1.3144676e-01  5.3616592e+07            
1.3151248e-01  4.6560348e+07            
1.3157824e-01  5.3752155e+07            
1.3164402e-01  5.0914251e+07            
1.3170984e-01  6.2812852e+07            
1.3177569e-01  6.8163352e+07            
1.3184159e-01  5.6277398e+07            
1.3190750e-01  6.2419625e+07            
1.3197346e-01  7.3687507e+07            
1.3203945e-01  6.1734745e+07            
1.3210546e-01  7.5212398e+07            
1.3217151e-01  7.6005650e+07            
1.3223761e-01  7.0207993e+07            
1.3230373e-01  7.0881350e+07            
1.3236987e-01  6.1790656e+07            
1.3243605e-01  6.3130977e+07            
1.3250228e-01  7.8331990e+07            
1.3256854e-01  7.8134950e+07            
1.3263481e-01  6.9134980e+07            
1.3270113e-01  5.4366988e+07            
1.3276748e-01  7.4087663e+07            
1.3283386e-01  7.5265645e+07            
1.3290027e-01  4.9912393e+07            
1.3296674e-01  4.9185640e+07            
1.3303321e-01  5.9923135e+07            
1.3309973e-01  7.0849383e+07            
1.3316629e-01  7.3808720e+07            
1.3323286e-01  8.0585439e+07            
1.3329948e-01  8.5202078e+07            
1.3336612e-01  6.0017783e+07            
1.3343282e-01  8.3940427e+07            
1.3349953e-01  5.0720207e+07            
1.3356627e-01  6.7275932e+07            
1.3363306e-01  8.6366973e+07            
1.3369988e-01  8.2753946e+07            
1.3376674e-01  7.3312233e+07            
1.3383362e-01  4.8051471e+07            
1.3390054e-01  8.0343374e+07            
1.3396748e-01  6.7418831e+07            
1.3403446e-01  9.9674160e+07            
1.3410148e-01  9.4990782e+07            
1.3416852e-01  8.1760840e+07            
1.3423561e-01  8.1912351e+07            
1.3430273e-01  8.6180204e+07            
1.3436988e-01  8.8540269e+07            
1.3443706e-01  1.0231967e+08            
1.3450429e-01  8.9775516e+07            
1.3457153e-01  1.0062620e+08            
1.3463883e-01  9.7761696e+07            
1.3470615e-01  8.2875337e+07            
1.3477351e-01  1.0855520e+08            
1.3484089e-01  1.0579722e+08            
1.3490831e-01  8.8062187e+07            
1.3497575e-01  1.0575991e+08            
1.3504325e-01  1.0681087e+08            
1.3511078e-01  1.0249188e+08            
1.3517832e-01  1.1651249e+08            
1.3524591e-01  1.0991008e+08            
1.3531353e-01  1.2030588e+08            
1.3538120e-01  1.0223755e+08            
1.3544888e-01  1.1197395e+08            
1.3551661e-01  1.2477388e+08            
1.3558436e-01  1.0613192e+08            
1.3565215e-01  8.5881087e+07            
1.3571998e-01  1.1555534e+08            
1.3578785e-01  1.2746254e+08            
1.3585574e-01  1.0743876e+08            
1.3592368e-01  1.1832084e+08            
1.3599163e-01  1.0080063e+08            
1.3605962e-01  1.3523557e+08            
1.3612765e-01  1.3296031e+08            
1.3619571e-01  1.0909151e+08            
1.3626382e-01  1.1878918e+08            
1.3633195e-01  1.2459229e+08            
1.3640012e-01  1.1581574e+08            
1.3646832e-01  1.1384873e+08            
1.3653655e-01  1.4413374e+08            
1.3660482e-01  1.4070234e+08            
1.3667311e-01  1.2344222e+08            
1.3674146e-01  1.3434182e+08            
1.3680984e-01  1.3398912e+08            
1.3687822e-01  1.3352044e+08            
1.3694666e-01  1.3961087e+08            
1.3701515e-01  1.4783851e+08            
1.3708365e-01  1.2636691e+08            
1.3715220e-01  1.1417397e+08            
1.3722076e-01  1.1598203e+08            
1.3728937e-01  1.3707723e+08            
1.3735803e-01  1.1957734e+08            
1.3742671e-01  1.2142778e+08            
1.3749541e-01  1.3838938e+08            
1.3756417e-01  1.5312853e+08            
1.3763295e-01  1.4959852e+08            
1.3770177e-01  1.3774359e+08            
1.3777061e-01  1.6849400e+08            
1.3783951e-01  1.6190402e+08            
1.3790842e-01  1.5870429e+08            
1.3797738e-01  1.4880889e+08            
1.3804637e-01  1.5557582e+08            
1.3811539e-01  1.4294378e+08            
1.3818444e-01  1.6182458e+08            
1.3825354e-01  1.7667165e+08            
1.3832267e-01  1.4649095e+08            
1.3839183e-01  1.6815096e+08            
1.3846103e-01  1.6054694e+08            
1.3853025e-01  1.2779664e+08            
1.3859952e-01  1.8118795e+08            
1.3866881e-01  1.9082497e+08            
